Date,Open,High,Low,Close,Adj Close,Volume
9/19/2018,4.125,4.2,4.1125,4.15,3.902322," 7,192,800 "
9/20/2018,4.15,4.2025,4.1125,4.1225,3.876463," 6,416,400 "
9/21/2018,4.1125,4.1875,4.1075,4.13,3.883516," 12,163,600 "
9/24/2018,4.105,4.105,3.8725,3.88,3.648436," 14,310,800 "
9/25/2018,3.91,4.0225,3.825,4.005,3.765976," 8,250,000 "
9/26/2018,4.035,4.035,3.885,3.8975,3.664891," 7,605,200 "
9/27/2018,3.92,3.9375,3.8575,3.8875,3.655488," 8,096,800 "
9/28/2018,3.885,3.9625,3.7975,3.8175,3.589666," 10,103,200 "
10/1/2018,3.82,3.885,3.745,3.82,3.592017," 16,239,200 "
10/2/2018,3.7925,3.8275,3.71,3.7175,3.495634," 11,512,800 "
10/3/2018,3.75,3.7925,3.6875,3.73,3.507388," 8,054,400 "
10/4/2018,3.7425,3.78,3.68,3.705,3.48388," 6,086,400 "
10/5/2018,3.7075,3.7325,3.645,3.67,3.450969," 9,294,800 "
10/8/2018,3.6775,3.7975,3.665,3.745,3.521493," 9,040,400 "
10/9/2018,3.7325,3.8625,3.675,3.69,3.469775," 9,622,800 "
10/10/2018,3.7025,3.7925,3.7025,3.7075,3.486231," 7,850,400 "
10/11/2018,3.6975,3.775,3.6625,3.665,3.446267," 8,384,000 "
10/12/2018,3.725,3.7875,3.675,3.7,3.479179," 7,710,400 "
10/15/2018,3.7025,3.7675,3.695,3.72,3.497985," 6,000,400 "
10/16/2018,3.7425,3.825,3.695,3.8225,3.594368," 8,160,800 "
10/17/2018,3.8225,3.87,3.695,3.83,3.60142," 7,991,600 "
10/18/2018,3.825,3.855,3.725,3.765,3.540299," 5,914,400 "
10/19/2018,3.7175,3.75,3.6175,3.6825,3.462723," 12,424,000 "
10/22/2018,3.705,3.805,3.6725,3.78,3.554404," 9,222,000 "
10/23/2018,3.7475,3.8275,3.6975,3.8175,3.589666," 9,580,400 "
10/24/2018,3.825,3.9,3.7675,3.7675,3.54265," 8,965,200 "
10/25/2018,3.78,3.8,3.57,3.61,3.39455," 9,096,400 "
10/26/2018,3.6075,3.6075,3.41,3.4275,3.222942," 10,044,400 "
10/29/2018,3.46,3.74,3.4425,3.6325,3.415707," 12,675,600 "
10/30/2018,3.6425,3.7775,3.6,3.6675,3.448618," 8,376,400 "
10/31/2018,3.7025,3.705,3.565,3.65,3.432163," 6,955,600 "
11/1/2018,3.6525,3.8375,3.65,3.8375,3.608473," 11,017,200 "
11/2/2018,3.855,3.94,3.7975,3.9025,3.669593," 6,662,400 "
11/5/2018,3.8875,3.89,3.7225,3.7475,3.523844," 7,214,400 "
11/6/2018,3.7375,3.7625,3.7075,3.7375,3.51444," 7,584,000 "
11/7/2018,3.75,3.7625,3.6625,3.725,3.502687," 8,177,200 "
11/8/2018,3.725,3.755,3.695,3.715,3.493283," 8,557,200 "
11/9/2018,3.68,3.7,3.58,3.66,3.441566," 6,686,000 "
11/12/2018,3.665,3.695,3.465,3.47,3.262905," 9,600,800 "
11/13/2018,3.475,3.545,3.445,3.47,3.262905," 9,232,800 "
11/14/2018,3.5225,3.5275,3.22,3.24,3.046632," 13,744,400 "
11/15/2018,3.24,3.3125,3.1925,3.2825,3.086596," 12,119,600 "
11/16/2018,3.2475,3.2475,3.1125,3.1975,3.006669," 22,866,800 "
11/19/2018,3.21,3.29,3.1925,3.2575,3.063088," 13,803,600 "
11/20/2018,3.15,3.2275,3.035,3.07,2.886778," 24,139,600 "
11/21/2018,3.1175,3.625,3.0775,3.4275,3.222942," 49,923,200 "
11/23/2018,3.425,3.44,3.29,3.375,3.173575," 10,767,200 "
11/26/2018,3.4975,3.695,3.4975,3.645,3.427461," 23,613,600 "
11/27/2018,3.5975,3.7425,3.55,3.68,3.460372," 17,538,800 "
11/28/2018,3.68,3.7675,3.68,3.7525,3.528545," 10,574,800 "
11/29/2018,3.7625,3.805,3.635,3.6575,3.439215," 16,838,400 "
11/30/2018,3.2475,3.49,3.2,3.415,3.211188," 47,627,200 "
12/3/2018,3.455,3.495,3.3825,3.4675,3.260555," 16,084,800 "
12/4/2018,3.4975,3.5275,3.36,3.375,3.173575," 14,935,600 "
12/6/2018,3.375,3.4425,3.31,3.39,3.18768," 12,788,800 "
